Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
671,Mason Hanback,C,SE-MO,South,16,9,2,0.33,0,0,0.22,0.33,2,2,1000,0
672,Noah Batchelor,G,MD,South,8,21,1.67,1.24,0.24,0.1,0.38,0.1,1.67,2.5,1000,0
673,Alex Germer,F,MTST,East,14,9,2.33,0.78,0,0,0,0,2.33,2.33,1000,0
674,Jakov Kukic,F,UC-SB,South,14,15,2.33,2.07,0.2,0.27,0.47,0.13,2.33,2.33,1000,0
675,Jamel King,F,WVA,South,9,8,1.5,0.63,0.25,0.13,0.25,0,1.5,2.25,1000,0
676,Sam Alamutu,G,VERM,East,15,23,2.39,2.17,0.48,0.61,0.96,0.09,2.39,2.39,1000,0
677,Isaiah Marin,G,TXSO,East,16,21,2.38,2.29,1.19,0.62,1.38,0.05,2.38,2.38,1000,0
678,Miles Stewart,F,HOW,West,16,20,2.2,2.25,0.15,0.25,0.4,0.35,2.2,2.2,1000,0
679,Ebenezer Dowuona,F,NCST,South,11,29,1.69,1.93,0.03,0.17,0.21,0.9,1.69,2.2,1000,0
680,Erik Pratt,G,TXAM,Midwest,7,9,1.44,0.11,0.22,0.11,0.11,0,1.44,2.31,1000,0
681,Logan Landers,F,GCU,West,14,13,2.15,1.46,0.46,0.08,0.38,0,2.15,2.15,1000,0
682,Julius Rollins,G,KENT-ST,Midwest,13,25,2.28,1.72,0.4,0.48,0.56,0.12,2.28,2.28,1000,0
683,Nate Santos,F,PITT,Midwest,11,28,1.64,1.29,0.25,0.29,0.29,0.07,1.64,2.14,1000,0
684,Martavious Russell,G,MISS-ST,Midwest,11,10,1.7,0.6,0.1,0.4,0.4,0.1,1.7,2.21,1000,0
685,Ike Cornish,G,MD,South,8,20,1.45,0.3,0,0.1,0.35,0,1.45,2.17,1000,0
686,Patrick Suemnick,F,WVA,South,9,20,1.35,1.15,0.15,0.1,0.25,0.2,1.35,2.03,1000,0
687,Perry Smith,F,VERM,East,15,25,2,1.8,0.32,0.16,0.6,0.16,2,2,1000,0
688,Koke Keat Tong,F,UC-SB,South,14,22,2,4.05,0.27,0.45,1.05,0.18,2,2,1000,0
689,Josh Mitchell,F,SE-MO,South,16,17,2,1.12,0.12,0.12,0.41,0.18,2,2,1000,0
690,Tre Holloman,G,MSU,East,7,31,1.32,0.87,0.9,0.16,0.35,0.1,1.32,2.12,1000,0
691,Trevon Blassingame,G,FDU,East,16,23,2.09,0.83,0.48,0.13,0.52,0.13,2.09,2.09,1000,0
692,Harrison Hornery,F,USC,East,10,23,1.39,1.04,0.17,0.22,0.17,0.22,1.39,1.95,1000,0
693,Eli King,G,ISU,Midwest,6,9,1.22,0.56,0.22,0,0.22,0,1.22,2.08,1000,0
694,Demarshay Johnson,F,SDSU,South,5,7,1.14,0.71,0.14,0,0.57,0.14,1.14,1.94,1000,0
695,Evan Eursher,G,SE-MO,South,16,23,2.04,0.91,0.22,0.39,0.35,0.04,2.04,2.04,1000,0
696,Amadou Sylla,F,UNC-ASH,West,15,22,1.91,2.45,0.18,0.23,0.59,0.23,1.91,1.91,1000,0
697,Daniel Foster,G,NEV,West,11,24,1.54,1.88,1.04,0.46,0.63,0.17,1.54,2,1000,0
